id,label,number,X,Y,local_density
c677,Concrete strength prediction,644,12711.4573636542,36191.70526731631,376
c938,Watermarking algorithms,2853,46504.91026786095,9336.17174737329,371
c104,Student performance prediction,2895,45194.19525283863,19849.966690792622,369
c2244,Optimal distributed generation,391,8601.06504718704,21230.81199072508,369
c1461,Enhanced DE Algorithms,3880,22409.193642427086,19831.10250916631,368
c1201,Plant disease diagnosis,1017,25604.948400470148,49240.69852576907,367
c1660,Enhancing Photovoltaic Efficiency,420,6994.9220875718565,23808.371594351735,366
c1970,Cloud privacy advancements,3181,38373.73473927386,10115.71968791325,366
c3226,Battery SOH estimation,453,6426.490896013787,27417.304564185575,365
c210,SAR Imaging Enhancement,1161,22142.179162903227,39124.464060662365,365
c1297,Train timetable optimization,3663,17737.06108815092,16233.904577743995,364
c378,Algorithm accuracy,953,18653.696187621492,48505.14166281521,364
c633,AI Skin Cancer,1969,45596.07891284258,46249.926358502664,360
c1083,Soil Moisture Algorithms,974,19194.000400307363,47158.062874238625,359
c123,BCI Optimization,2577,48204.64615082408,28072.77377601115,357
c2903,Seizure detection,2570,49209.32801612649,28752.185914528385,357
c358,Immune cell analysis,2103,46522.22513641699,42123.22211795676,356
c993,Wireless Power Communication,3307,25112.521080667637,6057.064185641277,351
c819,Optical communication optimization,3726,23786.229565174028,10784.267512223527,350
c584,EON Algorithm Optimization,3247,29239.692768941306,6416.771638729755,348
c1303,Arrhythmia classification,2525,48000.57554249128,31887.443003967615,347
c973,Estimating Evapotranspiration,973,19405.29360908646,46987.608974700954,347
c3105,Algorithmic problem-solving,3618,25482.771343766777,24092.258198120966,346
c3552,Seismic algorithm advancements,836,14517.79123128991,42110.316133377586,343
c381,Nanofluid simulations,706,11483.44277591355,38628.6875839623,339
c773,Consensus algorithms,3672,16680.29268649053,15830.637872970596,338
c554,Android malware detection,3161,39967.75645468304,11321.748514446885,338
c3847,Immune-cancer connection,2107,46555.09731739676,42062.54921646112,337
c319,Deep COVID-19 Detection,1966,44837.6986442615,47224.83862456601,336
c195,Optical algorithm performance,3727,23763.526411838076,10778.446831271045,334
c69,Galaxy cluster analysis,985,22543.86578726431,50930.850091732165,332
c3333,Algorithm optimization,3334,24165.91233046304,9963.646610192998,331
c382,Energy-efficient cloud computing,3133,32836.97986223046,8663.188823659886,325
c663,Battery SOC estimation,455,6254.831820633401,27324.18849374952,325
c1633,TCP Congestion Control,3243,29081.971621931596,7511.163786079953,323
c3660,Visual Tracking Advancements,1327,33077.13222041435,32328.145588683452,322
c1713,Cryptographic advancements,3179,38148.8822816302,9476.521917143826,321
c385,Proteomics Algorithms,1732,36571.01654884698,42817.38282559491,321
c1452,Motor control algorithms,431,6949.988282764763,25122.284611420335,318
c1109,Video object detection,1372,33467.024789867566,32664.01739829233,318
c1557,Hyperspectral Unmixing Algorithms,1025,27739.2984653158,47070.61136192242,316
c1515,Sentiment analysis optimization,2859,46162.69519768967,17936.008149646386,315
c1899,Tumor Mutation Prediction,2106,46568.65417307717,42063.37284029729,313
c1476,Machine learning for defect prediction,3108,38081.78633862939,13475.369878685742,313
c217,Single-cell clustering,2178,43696.571632593645,39502.90246583646,313
c3713,Battery health prediction,454,6427.353601458493,27450.32578950029,313
c1210,Seismic algorithm insights,843,14353.094233277237,42479.432782929,312
c936,Solar cell optimization,442,7507.692903402829,24629.333861869258,312
c845,Intrusion detection revolution,3154,36446.0034706023,11350.419236343616,310
c1008,Enhancing Bee Algorithms,3818,20231.054082579318,19502.054891231877,309
c2950,Algorithmic ankle care,2251,48998.356960072284,42572.60284212087,309
c8,Graph domination,3487,29268.412203289474,16243.748486908631,307
c438,AI for GI Diagnosis,1972,44271.59222653521,45857.908275502676,307
c133,Snowpack algorithms,955,17608.4042569097,47405.191942630285,306
c389,Sentiment analysis advancements,2861,46139.45491689017,17985.82830412828,305
c1187,Bistatic SAR Algorithms,1160,22113.154899176374,39135.97937143668,304
c1422,Cybersecurity algorithms,3152,36405.26801592836,11520.748886065736,301
c969,Enhancing intrusion detection,3153,36382.85170701916,11587.593376760018,300
c1016,Re-identification algorithms,1570,39514.03110919834,33008.813229457155,299
c761,Sentiment analysis,2860,46109.769793508865,17930.247647773096,299
c2632,Battery life prediction,451,6468.7235782770185,27418.983390694324,299
c2462,WDM Network Optimization,3248,29234.6924153856,6494.429589582807,298
c839,Wind forecasting,318,10882.834284198168,28040.016991145403,298
c1313,Blind source separation,2694,32203.940974186757,27603.482219130896,298
c593,Radiation therapy optimization,1843,36354.89216238837,50432.699751490894,297
c3013,Efficient lot-sizing algorithms,3768,19338.042105205477,13794.514117480305,296
c809,Radar Rainfall Accuracy,884,17461.555417829113,46663.02348343437,295
c1311,Dental caries detection,1944,42343.98041788042,46617.45917284678,294
c1025,Optical image encryption,2842,44030.34072639932,9283.177680298431,294
c1490,Malware classification,3202,39255.65326101148,11639.52734398526,294
c1380,Enhancing Object Tracking,1328,33068.35723267769,32251.13513737993,294
c1225,Fingerprint algorithm advancements,1509,39786.59350156654,29466.93998593035,293
c2369,Fake news algorithms,2865,45849.99997716307,17566.626092641025,293
c2281,Fault diagnosis algorithms,478,12747.994709920491,28018.91255130903,293
c2386,Facial Emotion Recognition,1435,46126.97449734533,25601.312516412476,291
c473,Reference gene stability,1967,45301.76082678829,46178.97896932757,291
c1342,Gear optimization,459,11127.351489880457,29194.414486700873,289
c1032,Fault diagnosis revolution,471,12429.830588897381,27762.692681996727,288
c1295,Power filter optimization,401,7206.975626947689,22927.484719314358,287
c2162,Quadrotor control,278,15413.661143621905,23487.57204981643,285
c179,Automated retinopathy screening,1919,41087.636095249305,52202.05066523828,283
c563,Graph coloring algorithms,3523,29219.36402243335,16732.23526312194,282
c412,Antenna optimization,155,21182.279244428446,30404.886070487584,279
c252,Iterative learning control,209,17971.700115026757,24830.664135234478,276
c1830,Jet algorithm analysis,1020,27961.0089478144,50845.3812835252,276
c197,Blockchain Consensus,3170,40054.54985252231,9161.153126393987,274
c1905,Phase Retrieval Algorithms,1231,27655.737493016015,38187.68645361169,273
c1982,Protein complex prediction,1601,40798.72188632381,37939.39187228354,272
c2987,Landslide prediction,865,17893.99820029032,43228.85353173439,272
c309,Fracture treatment optimization,2250,49000.24364135229,42552.23632694486,272
c269,AOD Algorithm Validation,967,18169.166149332763,47912.74295666591,270
c1179,Neuroimaging-based Alzheimer's diagnosis,2495,48057.2312506991,33263.15831720942,270
c2057,Saliency algorithms,1375,34881.1626898319,33671.11535632784,269
c3277,Underwater sensor networks,296,15384.085840155894,18528.488951821353,269
c125,Genetic steganography optimization,2847,46268.64696218315,8940.32039566549,268
c1680,Algorithm validation,1841,36069.51339683632,50352.143089263715,268
c806,Enhancing motor control,432,6946.650824512668,25165.834206454387,267
c2393,Option pricing algorithms,3015,37546.27326079625,18496.95840921644,267
c2600,Coding algorithms,3370,25292.606869480813,10676.702730544363,267
c1156,Efficient cloud scheduling,3395,32611.767116741,8919.636295839558,266
c696,Fault diagnosis optimization,476,12831.021849715391,27972.90204688844,266
c2883,Cyclone analysis,888,17179.17290809501,46066.663839611996,264
c261,VANET Optimization,3737,22403.511154659805,10581.29133603166,264
c3480,Immunotherapy advancements,2105,46596.068156511625,42015.622271594795,263
c1334,Text summarization advancements,2873,45291.24678892175,19085.673989933894,263
c1727,Algorithmic gas measurement,962,18132.46537207799,47666.140988998806,263
c3482,Hybrid Converter Optimization,416,6609.542451091118,23183.623771276616,262
c2154,Cloud task scheduling,3394,32651.67437411421,8954.283484633794,261
c1111,Facial expression recognition,1434,46025.87604099601,25701.230788472025,260
c875,Immunotherapy prediction,2104,46562.22517254131,42114.494707897844,260
c1354,Optimized control algorithms,196,18126.57146240321,25435.970361770815,258
c368,Robust control algorithms,282,16352.474701371268,24610.725236160888,258
c1363,Glucose control algorithms,2435,51430.576354682285,33621.42631783005,258
c396,DOA Estimation Algorithms,3971,23066.692674131224,27931.98604944722,255
c736,Secure Medical Images,2840,43794.34687264853,9153.93302596048,255
c1600,Seismic inversion advancements,835,14586.827417430792,42003.938796572176,253
c2350,Weak Gravitational Lensing,986,22598.471848882597,51086.893552935966,253
c2251,Improved HIV diagnosis,2305,51322.09931577307,38087.78302577184,252
c425,EMG signal analysis,1478,44431.189264865076,29205.523041593457,252
c453,Multi-label classification,2662,38168.184029689946,25179.095915068203,252
c3448,Inventory optimization,3764,19501.00028379601,13703.041653972963,251
c660,Optimizing image segmentation,1275,33382.58706644403,35611.627865739414,250
c1100,UAV network optimization,3751,17958.697133739402,11892.990365848953,249
c1129,Cloud property retrieval,958,17968.949402806596,47503.813644533264,249
c4036,Magnetic dipole localization,156,21231.468713423892,30401.533949110348,249
